CUSTOMER_NUMBER,LATEST_CREDITCARD_COUNT,LATEST_DEBITCARD_COUNT,HAS_CREDITCARD_OBS,HAS_DEBITCARD_OBS,CARD_ACTIVE_MONTHS,MAX_HIST_CREDITCARD,MAX_HIST_DEBITCARD,CREDITCARD_GROWTH,DEBITCARD_GROWTH
1870,1,0,1,0,1,1,0,0,0
1876,0,1,0,1,2,0,1,0,0
1889,0,2,0,1,5,0,2,0,1
1907,0,1,0,1,6,0,1,0,0
1910,1,0,1,0,4,1,0,0,0
1914,2,0,1,0,5,2,0,0,0
1967,0,1,0,1,7,0,1,0,0
1975,0,1,0,1,5,0,1,0,0
1976,0,1,0,1,4,0,1,0,0
1979,0,1,0,1,6,0,1,0,0
1982,0,1,0,1,6,0,1,0,0
1984,0,1,0,1,6,0,1,0,0
1985,0,1,0,1,3,0,1,0,0
1997,0,1,0,1,5,0,1,0,0
2007,1,1,1,1,5,1,1,1,0
2010,1,0,1,0,6,1,0,0,0
2020,0,1,0,1,4,0,1,0,0
2021,0,2,0,1,4,0,2,0,1
2074,0,1,0,1,5,0,1,0,0
2078,0,1,0,1,2,0,1,0,0
2095,1,0,1,0,3,1,0,0,0
2101,1,0,1,0,1,1,0,0,0
2105,1,0,1,0,1,1,0,0,0
2109,0,1,0,1,3,0,1,0,0
2112,1,0,1,0,2,1,0,0,0
2113,0,1,0,1,1,0,1,0,0
2117,0,1,0,1,2,0,1,0,0
2119,0,1,0,1,1,0,1,0,0
2126,1,0,1,0,5,1,0,0,0
2141,0,1,0,1,7,0,1,0,0
2142,0,1,0,1,2,0,1,0,0
2145,1,0,1,0,3,1,0,0,0
2156,1,2,1,1,9,1,2,0,0
2171,0,1,0,1,3,0,1,0,0
2174,0,1,0,1,2,0,1,0,0
2179,0,1,0,1,1,0,1,0,0
2188,0,1,0,1,8,0,1,0,0
2216,0,1,0,1,7,0,1,0,0
2227,0,2,0,1,7,0,2,0,1
2231,0,1,0,1,1,0,1,0,0
2258,0,1,0,1,5,0,1,0,0
2262,0,1,0,1,5,0,1,0,0
2265,1,0,1,0,4,1,0,0,0
2272,0,1,0,1,9,0,1,0,0
2273,0,1,0,1,6,0,1,0,0
2293,0,1,0,1,9,0,1,0,0
2323,0,1,0,1,7,0,1,0,0
2332,0,1,0,1,5,0,1,0,0
2340,0,1,0,1,1,0,1,0,0
2358,0,1,0,1,2,0,1,0,0
2378,0,1,0,1,3,0,1,0,0
2414,1,0,1,0,5,1,0,0,0
2415,0,1,0,1,2,0,1,0,0
2433,0,1,0,1,3,0,1,0,0
2442,0,1,0,1,7,0,1,0,0
2444,0,1,0,1,4,0,1,0,0
2446,0,1,0,1,2,0,1,0,0
2458,1,0,1,0,2,1,0,0,0
2459,0,1,0,1,2,0,1,0,0
2496,0,1,0,1,8,0,1,0,0
2502,1,1,1,1,2,1,1,0,0
2503,1,0,1,0,7,1,0,0,0
2518,1,0,1,0,5,1,0,0,0
2521,0,1,0,1,4,0,1,0,0
2527,0,1,0,1,6,0,1,0,0
2528,0,1,0,1,9,0,1,0,0
2537,0,1,0,1,1,0,1,0,0
2547,0,1,0,1,6,0,1,0,0
2550,0,1,0,1,3,0,1,0,0
2554,1,0,1,0,2,1,0,0,0
2557,1,0,1,0,4,1,0,0,0
2567,1,0,1,0,5,1,0,0,0
2568,0,1,0,1,6,0,1,0,0
2577,0,1,0,1,2,0,1,0,0
2584,0,1,0,1,1,0,1,0,0
2595,0,1,0,1,3,0,1,0,0
2610,1,0,1,0,2,1,0,0,0
2613,0,1,0,1,5,0,1,0,0
2623,1,0,1,0,7,1,0,0,0
2644,1,0,1,0,7,1,0,0,0
2648,1,0,1,0,1,1,0,0,0
2658,1,0,1,0,1,1,0,0,0
2659,0,1,0,1,2,0,1,0,0
2661,0,1,0,1,5,0,1,0,0
2670,0,1,0,1,2,0,1,0,0
2675,0,1,0,1,6,0,1,0,0
2677,1,0,1,0,9,1,0,0,0
2682,0,1,0,1,1,0,1,0,0
2706,0,1,0,1,4,0,1,0,0
2719,0,1,0,1,1,0,1,0,0
2726,5,0,1,0,7,5,0,4,0
2729,1,0,1,0,6,1,0,0,0
2746,0,2,0,1,7,0,2,0,0
2748,1,0,1,0,2,1,0,0,0
2749,0,1,0,1,1,0,1,0,0
2763,1,0,1,0,4,1,0,0,0
2764,0,1,0,1,3,0,1,0,0
2781,0,1,0,1,4,0,1,0,0
2800,0,1,0,1,3,0,1,0,0
2802,0,2,0,1,5,0,2,0,0
2813,1,0,1,0,9,1,0,0,0
2819,1,0,1,0,3,1,0,0,0
2822,0,1,0,1,6,0,1,0,0
2832,0,1,0,1,8,0,1,0,0
2833,0,1,0,1,1,0,1,0,0
2838,0,2,0,1,7,0,2,0,1
2854,0,1,0,1,9,0,1,0,0
2861,0,1,0,1,6,0,1,0,0
2868,0,1,0,1,9,0,1,0,0
2869,0,1,0,1,6,0,1,0,0
2891,2,0,1,0,8,2,0,1,0
2892,0,1,0,1,1,0,1,0,0
2897,0,1,0,1,2,0,1,0,0
2904,1,0,1,0,8,1,0,0,0
2929,0,1,0,1,2,0,1,0,0
2934,0,1,0,1,1,0,1,0,0
2938,1,0,1,0,5,1,0,0,0
2943,0,1,0,1,2,0,1,0,0
2944,0,1,0,1,6,0,1,0,0
2960,0,1,0,1,4,0,1,0,0
2971,0,2,0,1,1,0,2,0,0
2988,2,0,1,0,5,2,0,0,0
2992,1,0,1,0,1,1,0,0,0
2996,0,1,0,1,1,0,1,0,0
2997,0,1,0,1,3,0,1,0,0
2999,0,1,0,1,1,0,1,0,0
3003,0,1,0,1,3,0,1,0,0
3011,0,2,0,1,7,0,2,0,0
3014,0,1,0,1,2,0,1,0,0
3018,0,1,0,1,4,0,1,0,0
3023,0,1,0,1,4,0,1,0,0
3047,1,0,1,0,2,1,0,0,0
3053,0,1,0,1,5,0,1,0,0
3071,0,1,0,1,3,0,1,0,0
3112,0,1,0,1,9,0,1,0,0
3129,0,1,0,1,2,0,1,0,0
3133,1,0,1,0,5,1,0,0,0
3135,1,0,1,0,1,1,0,0,0
3161,1,0,1,0,5,1,0,0,0
3166,1,0,1,0,2,1,0,0,0
3169,0,1,0,1,9,0,1,0,0
3175,0,1,0,1,8,0,1,0,0
3176,0,1,0,1,4,0,1,0,0
3178,0,2,0,1,4,0,2,0,1
3179,0,1,0,1,2,0,1,0,0
3207,0,1,0,1,5,0,1,0,0
3212,0,1,0,1,2,0,1,0,0
3221,0,1,0,1,1,0,1,0,0
3222,0,1,0,1,3,0,1,0,0
3234,0,1,0,1,1,0,1,0,0
3237,0,1,0,1,5,0,1,0,0
3245,0,1,0,1,1,0,1,0,0
3264,0,1,0,1,6,0,1,0,0
3275,1,0,1,0,4,1,0,0,0
3280,1,0,1,0,2,1,0,0,0
3282,0,1,0,1,1,0,1,0,0
3354,0,1,0,1,6,0,1,0,0
3357,0,1,0,1,2,0,1,0,0
3359,0,1,0,1,3,0,1,0,0
3367,1,0,1,0,1,1,0,0,0
3391,0,1,0,1,3,0,1,0,0
3393,1,0,1,0,4,1,0,0,0
3419,1,0,1,0,4,1,0,0,0
3431,0,1,0,1,5,0,1,0,0
3440,0,1,0,1,8,0,1,0,0
3446,2,0,1,0,8,2,0,1,0
3451,0,1,0,1,3,0,1,0,0
3461,0,1,0,1,7,0,1,0,0
3468,0,1,0,1,3,0,1,0,0
3469,0,1,0,1,2,0,1,0,0
3472,1,1,1,1,2,1,1,0,1
3476,0,1,0,1,2,0,1,0,0
3477,0,1,0,1,5,0,1,0,0
3494,0,1,0,1,5,0,1,0,0
3499,1,0,1,0,1,1,0,0,0
3505,0,1,0,1,9,0,1,0,0
3532,0,1,0,1,6,0,1,0,0
3535,0,1,0,1,8,0,1,0,0
3552,0,1,0,1,3,0,1,0,0
3586,0,1,0,1,2,0,1,0,0
3590,0,1,0,1,5,0,1,0,0
3601,0,1,0,1,1,0,1,0,0
3610,0,1,0,1,2,0,1,0,0
3621,1,0,1,0,7,1,0,0,0
3629,0,1,0,1,6,0,1,0,0
3642,0,1,0,1,3,0,1,0,0
3663,0,1,0,1,3,0,1,0,0
3666,1,0,1,0,9,1,0,0,0
3669,0,1,0,1,1,0,1,0,0
3673,1,0,1,0,5,1,0,0,0
3682,0,1,0,1,6,0,1,0,0
3693,0,1,0,1,7,0,1,0,0
3697,0,1,0,1,6,0,1,0,0
3710,1,0,1,0,5,1,0,0,0
3722,1,0,1,0,4,1,0,0,0
3728,1,0,1,0,1,1,0,0,0
3749,0,1,0,1,4,0,1,0,0
3759,0,1,0,1,4,0,1,0,0
3793,0,1,0,1,3,0,1,0,0
3799,1,0,1,0,6,1,0,0,0
3812,0,1,0,1,5,0,1,0,0
3814,0,1,0,1,5,0,1,0,0
3816,0,1,0,1,1,0,1,0,0
3817,0,1,0,1,7,0,1,0,0
3818,0,1,0,1,6,0,1,0,0
3825,0,1,0,1,1,0,1,0,0
3828,0,1,0,1,5,0,1,0,0
3850,0,1,0,1,3,0,1,0,0
3864,0,1,0,1,3,0,1,0,0
3866,1,0,1,0,8,1,0,0,0
3873,0,1,0,1,3,0,1,0,0
3876,0,1,0,1,6,0,1,0,0
3879,0,1,0,1,9,0,1,0,0
3883,1,0,1,0,7,1,0,0,0
3889,0,1,0,1,6,0,1,0,0
3890,1,0,1,0,5,1,0,0,0
3900,0,1,0,1,6,0,1,0,0
3918,1,0,1,0,2,1,0,0,0
3920,2,0,1,0,4,2,0,0,0
3926,1,0,1,0,6,1,0,0,0
3928,1,0,1,0,3,1,0,0,0
3940,0,1,0,1,4,0,1,0,0
3955,0,1,0,1,2,0,1,0,0
3974,0,1,0,1,6,0,1,0,0
3976,0,1,0,1,1,0,1,0,0
3983,1,0,1,0,4,1,0,0,0
3997,0,1,0,1,6,0,1,0,0
4008,1,0,1,0,8,1,0,0,0
4020,0,1,0,1,3,0,1,0,0
4029,0,1,0,1,6,0,1,0,0
4038,1,0,1,0,5,1,0,0,0
4040,0,1,0,1,1,0,1,0,0
4061,0,1,0,1,2,0,1,0,0
4063,0,1,0,1,5,0,1,0,0
4065,1,1,1,1,7,1,1,1,0
4068,1,0,1,0,2,1,0,0,0
4081,0,1,0,1,2,0,1,0,0
4087,1,0,1,0,4,1,0,0,0
4096,0,1,0,1,2,0,1,0,0
4100,0,1,0,1,6,0,1,0,0
4111,1,0,1,0,9,1,0,0,0
4134,0,1,0,1,4,0,1,0,0
4146,0,1,0,1,1,0,1,0,0
4155,0,1,0,1,4,0,1,0,0
4157,1,0,1,0,6,1,0,0,0
4158,0,1,0,1,8,0,1,0,0
4210,1,0,1,0,3,1,0,0,0
4211,0,1,0,1,3,0,1,0,0
4231,1,0,1,0,7,1,0,0,0
4245,0,1,0,1,9,0,1,0,0
4257,0,1,0,1,9,0,1,0,0
4268,0,1,0,1,8,0,1,0,0
4275,1,0,1,0,6,1,0,0,0
4281,1,0,1,0,3,1,0,0,0
4287,1,0,1,0,8,1,0,0,0
4288,0,1,0,1,5,0,1,0,0
4299,0,1,0,1,7,0,1,0,0
4308,3,0,1,0,5,3,0,1,0
4323,0,1,0,1,7,0,1,0,0
4341,1,0,1,0,1,1,0,0,0
4344,0,1,0,1,1,0,1,0,0
4345,0,1,0,1,3,0,1,0,0
4346,1,0,1,0,2,1,0,0,0
4347,0,1,0,1,2,0,1,0,0
4357,1,0,1,0,5,1,0,0,0
4364,1,0,1,0,7,1,0,0,0
4379,0,1,0,1,1,0,1,0,0
4380,0,1,0,1,5,0,1,0,0
4391,0,1,0,1,3,0,1,0,0
4400,0,1,0,1,3,0,1,0,0
4401,1,0,1,0,3,1,0,0,0
4426,0,1,0,1,4,0,1,0,0
4431,0,1,0,1,1,0,1,0,0
4455,1,0,1,0,8,1,0,0,0
4460,0,1,0,1,6,0,1,0,0
4466,0,1,0,1,2,0,1,0,0
4468,0,2,0,1,7,0,2,0,1
4494,1,0,1,0,2,1,0,0,0
4496,1,1,1,1,4,1,1,0,0
4508,0,1,0,1,9,0,1,0,0
4513,0,1,0,1,8,0,1,0,0
4515,0,1,0,1,4,0,1,0,0
4517,1,0,1,0,3,1,0,0,0
4518,0,1,0,1,2,0,1,0,0
4523,0,1,0,1,3,0,1,0,0
4538,1,0,1,0,3,1,0,0,0
4540,0,1,0,1,4,0,1,0,0
4545,1,0,1,0,1,1,0,0,0
4548,0,1,0,1,3,0,1,0,0
4574,1,0,1,0,2,1,0,0,0
4582,1,0,1,0,3,1,0,0,0
4583,0,1,0,1,4,0,1,0,0
4584,0,1,0,1,7,0,1,0,0
4596,0,1,0,1,7,0,1,0,0
4614,0,1,0,1,6,0,1,0,0
4620,1,0,1,0,3,1,0,0,0
4657,1,0,1,0,3,1,0,0,0
4675,0,1,0,1,1,0,1,0,0
4676,0,1,0,1,8,0,1,0,0
4702,0,1,0,1,6,0,1,0,0
4704,0,1,0,1,2,0,1,0,0
4705,1,0,1,0,6,1,0,0,0
4726,0,1,0,1,7,0,1,0,0
4768,0,1,0,1,4,0,1,0,0
4805,0,1,0,1,1,0,1,0,0
4818,0,1,0,1,7,0,1,0,0
4841,0,1,0,1,7,0,1,0,0
4874,0,1,0,1,8,0,1,0,0
4877,0,1,0,1,2,0,1,0,0
4878,0,1,0,1,4,0,1,0,0
4888,0,3,0,1,7,0,3,0,2
4905,0,2,0,1,4,0,2,0,1
4918,1,1,1,1,9,1,1,0,1
4927,0,1,0,1,6,0,1,0,0
4933,0,1,0,1,2,0,1,0,0
4946,0,1,0,1,2,0,1,0,0
4993,0,1,0,1,4,0,1,0,0
4997,0,2,0,1,3,0,2,0,0
5029,0,1,0,1,1,0,1,0,0
5030,1,0,1,0,1,1,0,0,0
5033,0,1,0,1,1,0,1,0,0
5054,0,1,0,1,4,0,1,0,0
5069,1,0,1,0,3,1,0,0,0
5082,0,2,0,1,5,0,2,0,1
5084,1,1,1,1,7,1,1,1,0
5099,0,1,0,1,4,0,1,0,0
5107,1,0,1,0,9,1,0,0,0
5110,0,1,0,1,1,0,1,0,0
5114,0,1,0,1,6,0,1,0,0
5134,1,0,1,0,5,1,0,0,0
5138,0,1,0,1,2,0,1,0,0
5141,0,1,0,1,1,0,1,0,0
5153,0,1,0,1,5,0,1,0,0
5171,0,1,0,1,7,0,1,0,0
5173,1,0,1,0,3,1,0,0,0
5183,0,1,0,1,5,0,1,0,0
5185,1,0,1,0,4,1,0,0,0
5189,1,0,1,0,7,1,0,0,0
5203,0,1,0,1,2,0,1,0,0
5211,0,1,0,1,9,0,1,0,0
5228,0,1,0,1,3,0,1,0,0
5235,0,1,0,1,2,0,1,0,0
5246,1,0,1,0,6,1,0,0,0
5250,0,1,0,1,3,0,1,0,0
5260,0,1,0,1,6,0,1,0,0
5261,0,1,0,1,1,0,1,0,0
5276,0,1,0,1,1,0,1,0,0
5287,0,1,0,1,1,0,1,0,0
5302,0,1,0,1,3,0,1,0,0
5307,0,1,0,1,5,0,1,0,0
5310,1,0,1,0,8,1,0,0,0
5325,0,1,0,1,4,0,1,0,0
5342,0,1,0,1,2,0,1,0,0
5350,1,1,1,1,5,1,1,1,0
5360,2,0,1,0,4,2,0,0,0
5367,0,1,0,1,7,0,1,0,0
5375,0,1,0,1,2,0,1,0,0
5377,0,1,0,1,7,0,1,0,0
5392,1,0,1,0,3,1,0,0,0
5395,0,1,0,1,6,0,1,0,0
5441,0,1,0,1,9,0,1,0,0
5445,0,2,0,1,9,0,2,0,0
5451,0,1,0,1,3,0,1,0,0
5468,3,0,1,0,7,3,0,1,0
5474,0,1,0,1,1,0,1,0,0
5501,1,0,1,0,2,1,0,0,0
5503,1,0,1,0,1,1,0,0,0
5515,0,1,0,1,1,0,1,0,0
5517,0,1,0,1,2,0,1,0,0
5533,1,0,1,0,4,1,0,0,0
5536,0,1,0,1,2,0,1,0,0
5562,0,1,0,1,1,0,1,0,0
5577,0,1,0,1,2,0,1,0,0
5588,0,1,0,1,5,0,1,0,0
5597,0,1,0,1,6,0,1,0,0
5604,0,1,0,1,1,0,1,0,0
5608,0,1,0,1,4,0,1,0,0
5613,0,1,0,1,7,0,1,0,0
5617,1,0,1,0,5,1,0,0,0
5646,0,1,0,1,4,0,1,0,0
5647,0,1,0,1,2,0,1,0,0
5651,0,1,0,1,7,0,1,0,0
5660,1,0,1,0,7,1,0,0,0
5677,0,1,0,1,5,0,1,0,0
5694,0,1,0,1,2,0,1,0,0
5695,0,1,0,1,4,0,1,0,0
5698,1,0,1,0,2,1,0,0,0
5704,0,1,0,1,5,0,1,0,0
5736,1,0,1,0,4,1,0,0,0
5746,0,1,0,1,4,0,1,0,0
5757,0,1,0,1,2,0,1,0,0
5763,0,1,0,1,1,0,1,0,0
5774,0,1,0,1,5,0,1,0,0
5778,0,1,0,1,9,0,1,0,0
5786,0,1,0,1,4,0,1,0,0
5822,1,1,1,1,3,1,1,1,0
5823,0,1,0,1,2,0,1,0,0
5867,0,1,0,1,5,0,1,0,0
5873,0,1,0,1,2,0,1,0,0
5892,1,0,1,0,4,1,0,0,0
5899,0,1,0,1,5,0,1,0,0
5901,0,1,0,1,2,0,1,0,0
5904,0,1,0,1,5,0,1,0,0
5911,0,1,0,1,2,0,1,0,0
5919,0,1,0,1,4,0,1,0,0
5924,0,1,0,1,8,0,1,0,0
5927,0,1,0,1,7,0,1,0,0
5959,0,1,0,1,3,0,1,0,0
5964,0,1,0,1,3,0,1,0,0
5969,1,0,1,0,3,1,0,0,0
5975,0,1,0,1,6,0,1,0,0
6000,1,0,1,0,6,1,0,0,0
6011,1,0,1,0,3,1,0,0,0
6019,1,0,1,0,5,1,0,0,0
6027,0,1,0,1,5,0,1,0,0
6029,2,0,1,0,5,2,0,0,0
6035,1,0,1,0,7,1,0,0,0
6039,1,0,1,0,7,1,0,0,0
6045,1,0,1,0,5,1,0,0,0
6067,0,1,0,1,1,0,1,0,0
6079,0,1,0,1,5,0,1,0,0
6114,1,0,1,0,7,1,0,0,0
6122,0,1,0,1,4,0,1,0,0
6130,0,1,0,1,3,0,1,0,0
6134,0,1,0,1,1,0,1,0,0
6136,0,1,0,1,1,0,1,0,0
6149,0,2,0,1,7,0,2,0,1
6154,0,1,0,1,3,0,1,0,0
6157,0,1,0,1,3,0,1,0,0
6159,0,1,0,1,1,0,1,0,0
6164,0,1,0,1,7,0,1,0,0
6197,1,0,1,0,5,1,0,0,0
6198,0,1,0,1,5,0,1,0,0
6200,0,1,0,1,1,0,1,0,0
6213,1,0,1,0,3,1,0,0,0
6215,0,1,0,1,6,0,1,0,0
6222,0,1,0,1,6,0,1,0,0
6224,0,1,0,1,2,0,1,0,0
6230,0,1,0,1,8,0,1,0,0
6232,1,0,1,0,2,1,0,0,0
6269,1,0,1,0,8,1,0,0,0
6271,1,0,1,0,3,1,0,0,0
6306,1,0,1,0,5,1,0,0,0
6307,0,2,0,1,6,0,2,0,1
6316,1,0,1,0,6,1,0,0,0
6322,1,0,1,0,4,1,0,0,0
6341,0,1,0,1,9,0,1,0,0
6345,0,1,0,1,8,0,1,0,0
6347,1,0,1,0,1,1,0,0,0
6350,0,1,0,1,2,0,1,0,0
6359,0,1,0,1,9,0,1,0,0
6369,1,0,1,0,1,1,0,0,0
6370,1,0,1,0,2,1,0,0,0
6377,0,1,0,1,3,0,1,0,0
6395,0,1,0,1,9,0,1,0,0
6396,0,1,0,1,7,0,1,0,0
6398,0,1,0,1,8,0,1,0,0
6401,0,1,0,1,2,0,1,0,0
